Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
ScannerWithoutValidation;250mb;4,96;1 029,65
CSVReaderWithoutValidation;250mb;5,40;2 084,83
ScannerCase;250mb;4,60;1 967,17
CSVReaderCase;250mb;4,00;937,96
FilesLinesCase;500mb;6,87;2 638,80
ScannerCase;500mb;9,73;1 297,18
FilesLinesWithoutValidation;500mb;7,55;1 494,13
BufferReaderWithoutValidation;500mb;7,20;2 704,46
CSVReaderCase;500mb;8,55;1 874,32
FileReaderCase;500mb;7,00;1 888,29
FileReaderWithoutValidation;500mb;7,62;1 545,55
ScannerWithoutValidation;500mb;10,25;2 893,86
CSVReaderWithoutValidation;500mb;11,47;1 380,12
BufferReaderCase;500mb;6,82;3 384,80
BufferReaderWithoutValidation;1gb;15,25;6 405,41
CSVReaderCase;1gb;17,78;4 966,06
FileReaderCase;1gb;14,62;4 353,69
ScannerCase;1gb;20,03;5 775,56
FilesLinesCase;1gb;14,76;5 167,38
FileReaderWithoutValidation;1gb;16,47;2 124,57
FilesLinesWithoutValidation;1gb;15,81;6 933,18
ScannerWithoutValidation;1gb;22,50;2 673,00
BufferReaderCase;1gb;14,77;5 393,88
CSVReaderWithoutValidation;1gb;23,80;3 514,87
ScannerWithoutValidation;2gb;46,86;6 356,79
BufferReaderWithoutValidation;2gb;34,61;4 379,63
CSVReaderCase;2gb;39,32;2 813,00
FileReaderCase;2gb;33,12;3 485,01
ScannerCase;2gb;42,89;3 191,65
FileReaderWithoutValidation;2gb;34,11;3 167,15
FilesLinesWithoutValidation;2gb;33,89;3 799,80
CSVReaderWithoutValidation;2gb;47,54;3 679,49
BufferReaderCase;2gb;32,54;3 762,13
FilesLinesCase;2gb;32,57;3 317,51
CSVReaderWithoutValidation;4gb;112,43;9 554,49
FilesLinesWithoutValidation;4gb;78,99;4 743,45
FileReaderWithoutValidation;4gb;83,72;4 238,18
BufferReaderWithoutValidation;4gb;79,51;4 716,46
ScannerCase;4gb;93,38;4 300,13
BufferReaderCase;4gb;70,96;3 386,98
